acronym,name,major,college,prerequisite_text,enrollment_cnt,A_cnt,A_percentage,cardinality
MUS A 52,Violin Ensemble,Music Performance Laboratories - MUS A,letters_and_science,"",,,,52
MUS A 152,Violin Ensemble,Music Performance Laboratories - MUS A,letters_and_science,Enrollment by audition. Upper-division students only.,,,,152
PHIL 192,Internship in Philosophy,Philosophy - PHIL,letters_and_science,Upper-division standing in philosophy; consent of department and instructor,,,,192
PHIL 197P,Senior Project for Majors with Ethics and Public Policy Emphasis,Philosophy - PHIL,letters_and_science,Upper-division standing in philosophy; consent of department.,,,,197
PHIL 199RA,Independent Research Assistant,Philosophy - PHIL,letters_and_science,Upper-division standing.,,,,199
PHIL 3,Critical Thinking,Philosophy - PHIL,letters_and_science,"",9762,4810,0.49272690022536364,3
MUS 97,Sophomore Audition,Music - MUS,letters_and_science,Passing of freshman audition (may be waived for transfer students) and consent of instructor.,,,,97
PHYS 199RA,Independent Research Assistance,Physics - PHYS,letters_and_science,Consent of instructor; upper-division standing; completion of 2 upper-division courses in physics.,,,,199
PORT 195,Senior Honors Independent Research,Portuguese - PORT,letters_and_science,Admission to the Portuguese senior honors program.,,,,195
RG ST 99PL,Persian Language Independent Study,Religious Studies - RG ST,letters_and_science,Minimum 3.0 cumulative GPA.,,,,99
RENST 199,Independent Studies in the Renaissance,Renaissance Studies - RENST,letters_and_science,Upper-division standing; completion of 2 upper-division courses in Renaissance Studies.,,,,199
SLAV 197,Senior Thesis in Russian,Slavic - SLAV,letters_and_science,Senior standing; consent of instructor.,,,,197
PSTAT 99,Independent Studies in Statistics,Statistics & Applied Probability - PSTAT,letters_and_science,"",,,,99
THTR 193H,Senior Honors Project,Theater - THTR,letters_and_science,Senior standing.,,,,193
THTR 193HB,Senior Honors Project,Theater - THTR,letters_and_science,Theater 193HA.,,,,193
THTR 2C,Performance in Global Contexts: EUROPE,Theater - THTR,letters_and_science,"",1417,699,0.49329569513055754,2
ANTH 190,Cultural Anthropology Internship,Anthropology - ANTH,letters_and_science,Consent of instructor.,,,,190
CHEM CS 11C,CCS General Chemistry,Chemistry (Creative Studies) - CHEM CS,creative_studies,"Consent of instructor for non-majors. CHEM 1B or CHEM 2B, or a Pass with a minimum of 3.0 units earned in CHEM CS 11B.",49,49,1,11
DANCE 47F,Ballet II,Dance - DANCE,letters_and_science,Dance 47C.,337,218,0.6468842729970327,47
FR 104F,Business French 2,French - FR,letters_and_science,French 100 or French 26.,163,138,0.8466257668711656,104
HIST 4C,Modern Europe,History - HIST,letters_and_science,"",7455,2415,0.323943661971831,4
RG ST 196,Internship,Religious Studies - RG ST,letters_and_science,"",,,,196
THTR W 19,Design Fundamentals for Dance and Theater,Theater - THTR,letters_and_science,"",387,270,0.6976744186046512,19
C LIT 194I,Internship,Comparative Literature - C LIT,letters_and_science,Upper-division standing; Comparative Literature majors only; consent of department.,,,,194
CMPSC 180,Computer Graphics,Computer Science - CMPSC,engineering,Computer Science 130B or consent of instructor.,571,224,0.3922942206654991,180
ECON 113B,Twentieth-Century United States Economic History,Economics - ECON,letters_and_science,Economics 10A,835,415,0.49700598802395207,113
GLOBL 196SJ,"Internship in Poverty, Inequality, and Social Justice",Global Studies - GLOBL,letters_and_science,HIST 74. Consent of Instructor.,,,,196
SPAN 1,Elementary Spanish I,Spanish - SPAN,letters_and_science,"",3273,1021,0.3119462267033303,1
BIOE 120B,Cellular Bioengineering,Biological Engineering - BIOE,engineering,"BIOE 120A, or ENGR 120A, or consent of Instructor",,,,120
COMM 188,"News, Politics, & Democracy",Communication - COMM,letters_and_science,Not open to Freshmen.,77,66,0.8571428571428571,188
LAIS 174,The Hispanic Novel and Cinema,Latin American and Iberian Studies - LAIS,letters_and_science,Spanish 102L or Spanish 30 (Prerequisite may be taken concurrently).,,,,174
MES 195,Senior Honors Thesis,Middle East Studies - MES,letters_and_science,Consent of instructor and department; senior standing; open to Middle East Studies majors who have a 3.5 overall GPA and a 3.75 GPA in the major,,,,195
PHIL 161,Spinoza,Philosophy - PHIL,letters_and_science,Philosophy 100B or 100D or 100E.,134,56,0.417910447761194,161
GLOBL 99,Independent Studies,Global Studies - GLOBL,letters_and_science,Consent of department and instructor.,,,,99
INT 176LA,UCLA Health Shadowing,Interdisciplinary - INT,letters_and_science,INT 176; upper-division standing and consent of instructor,,,,176
RG ST 6,Islam and Modernity,Religious Studies - RG ST,letters_and_science,none,471,224,0.47558386411889597,6
ECE 136A,Introduction to Optics and Photonics,Electrical Computer Engineering - ECE,engineering,"PHYS 5 and PHYS 5L, or equivalent.",,,,136
ENGL 102BA,"Royalists, Radicals, and the Transformation of the Transatlantic AnglophoneWorld",English - ENGL,letters_and_science,Writing 2 or 50 or 109 or English 10 or upper-division standing.,,,,102
ENGL 103WT,Wilde Times: Late Victorian Literature and Aesthetics,English - ENGL,letters_and_science,Writing 2 or 50 or 109 or English 10 or upper-division standing.,,,,103
ENGL 141ME,Global Environmental Literatures: Ecologies of Race and Migration,English - ENGL,letters_and_science,Writing 2 or upper-division standing.,,,,141
ENGL 143HE,Humor and Ecology,English - ENGL,letters_and_science,Writing 2 or upper-division standing.,,,,143
ENV S 187,Green Building Design & Operations,Environmental Studies - ENV S,letters_and_science,Upper-division standing required.,,,,187
ESS W 2,Substance Use & Sport Nutrition,Exercise & Sport Studies - ESS,letters_and_science,"",,,,2
FAMST 193,"The Carsey-Wolf Center Practicum: Contemporary Programming, Distribution, and Exhibition",Film and Media Studies - FAMST,letters_and_science,"Film Studies 46 or upper-division standing, and consent of instructor.",,,,193
GLOBL 12,How to Think Like a Quantitative Social Scientist,Global Studies - GLOBL,letters_and_science,"",,,,12
GLOBL 196A,Study Abroad Field Research Fellowship Seminar 1,Global Studies - GLOBL,letters_and_science,"Consent of instructor; student will need to apply to the course and be actively preparing to attend an EAP (Education Abroad Program) for a portion ofthe year following the 3-part research seminar series (GLOBL 196A, B, and C). More information about the course and program can be found at https://global.ucsb.edu/undergrad/abroad.",,,,196
GLOBL 197E,Special Topics in Global and International Studies,Global Studies - GLOBL,letters_and_science,Upper-division standing.,,,,197
GREEK 143,Post-Platonic Philosophers,Greek - GREEK,letters_and_science,Greek 102.,,,,143
INT 86EI,First Year Discovery Seminar: SciTrek: How Science Works,Interdisciplinary - INT,letters_and_science,Freshman standing.,,,,86
INT 86GG,First Year Exploration Seminars,Interdisciplinary - INT,letters_and_science,Freshman standing.,,,,86
INT 86IT,First Year Exploration Seminars,Interdisciplinary - INT,letters_and_science,Freshman standing.,,,,86
INT 86JV,First Year Discovery Seminar: The Beauty of Mathematics,Interdisciplinary - INT,letters_and_science,Freshman standing.,,,,86
INT 86PZ,First Year Exploration Seminars,Interdisciplinary - INT,letters_and_science,Freshman standing.,,,,86
INT 86VL,First Year Exploration Seminars,Interdisciplinary - INT,letters_and_science,Freshman standing.,,,,86
INT 86VW,First Year Discovery Seminar: Exploration of the Physics major: from curious freshmen to young professionals,Interdisciplinary - INT,letters_and_science,Freshman standing.,,,,86
ENGL 146PB,Paper Engineering and Pop-up Literature,English - ENGL,letters_and_science,Writing 2 or upper-division standing.,,,,146
ENGL 176BC,"Performance of Literature:Race, Space, and Black California",English - ENGL,letters_and_science,Writing 2 or 50 or 109 or English 10 or upper-division standing.,,,,176
FAMST 125DT,Documentary Truths,Film and Media Studies - FAMST,letters_and_science,"",,,,125
FAMST 155CC,Directors,Film and Media Studies - FAMST,letters_and_science,Film Studies 46.,,,,155
FAMST 166QH,Queer Media Histories and Historiography,Film and Media Studies - FAMST,letters_and_science,FAMST 46.,,,,166
FAMST 187PH,Occult and Psychedelic Horror,Film and Media Studies - FAMST,letters_and_science,"Film studies 46 or upper-division standing, and consent of instructor.",,,,187
GEOG 194,Field Study of California's Coast,Geography - GEOG,letters_and_science,Consent of instructor.,,,,194
GLOBL 131,Land Uprisings and Emancipatory Alternatives,Global Studies - GLOBL,letters_and_science,Upper-division standing.,,,,131
GLOBL 193,"Capstone Seminar in Poverty, Inequality, and Social Justice",Global Studies - GLOBL,letters_and_science,Consent of instructor.,,,,193
GLOBL 196B,Study Abroad Field Research Fellowship Seminar 2,Global Studies - GLOBL,letters_and_science,"Completion of GLOBL 196A and consent of instructor (students who have not GLOBL 196A may be granted permission to enroll on a case-by-case basis); Student needs to be actively preparing to attend an EAP (Education Abroad Program) for a portion of the year following the 3-part research seminar (GLOBL 196A, B, and C).",,,,196
GLOBL 197D,Special Topics in Global and International Studies,Global Studies - GLOBL,letters_and_science,Upper-division standing.,,,,197
GLOBL 197F,Special Topics in Global and International Studies,Global Studies - GLOBL,letters_and_science,Upper-division standing.,,,,197
INT 86EB,First Year Exploration Seminars,Interdisciplinary - INT,letters_and_science,Freshman standing.,,,,86
INT 86HI,First Year Exploration Seminars,Interdisciplinary - INT,letters_and_science,Freshman standing.,,,,86
INT 86HZ,First Year Discovery Seminar:Collectors and Collecting,Interdisciplinary - INT,letters_and_science,Freshman standing.,,,,86
INT 86TK,First Year Exploration Seminars,Interdisciplinary - INT,letters_and_science,Freshman standing.,,,,86
INT 86US,Freshman Seminars,Interdisciplinary - INT,letters_and_science,Freshman standing.,,,,86
INT 86UX,First Year Exploration Seminars,Interdisciplinary - INT,letters_and_science,Freshman standing.,,,,86
INT 86WB,First Year Exploration Seminars,Interdisciplinary - INT,letters_and_science,Freshman standing.,,,,86
INT 87AC,First Year Discovery Linked Seminar:Love and Desire from the Middle Ages to the Present in Iberian and Latin American Literatures and Cultures,Interdisciplinary - INT,letters_and_science,"",,,,87
INT 87AG,First Year Discovery & Linked Seminars,Interdisciplinary - INT,letters_and_science,"",,,,87
INT 87AJ,First Year Discovery & Linked Seminars,Interdisciplinary - INT,letters_and_science,"",,,,87
INT 87AP,First Year Discovery & Linked Seminars,Interdisciplinary - INT,letters_and_science,"",,,,87
INT 187AB,Transfer Discovery & Linked Seminars,Interdisciplinary - INT,letters_and_science,Upper-division standing.,,,,187
LAIS 194,Spanish American Women's Writing,Latin American and Iberian Studies - LAIS,letters_and_science,Spanish 102L or Spanish 30 (Prerequisite may be taken concurrently).,,,,194
MUS 53,Viola Orchestral Repertoire,Music - MUS,letters_and_science,By audition.,,,,53
MUS 153,Viola Orchestral Repertoire,Music - MUS,letters_and_science,Enrollment by audition.,,,,153
MUS 175P,Eco-Acoustic-Arts:Sounding & Creating with Global Environmental Elements,Music - MUS,letters_and_science,"Upper division standing, instructor approval required.",,,,175
PHYS 7A,Basic Physics,Physics - PHYS,letters_and_science,Mathematics 2A or 3A or AP Math AB Exam with a score of 3 or better.,,,,7
PHYS 137,Planets and Exoplanets,Physics - PHYS,letters_and_science,"Physics 5 or 25 or 115A with a minimum grade of C-, Physics 104 (may be taken concurrently)",,,,137
POL S 106AD,American Political Development,Political Science - POL S,letters_and_science,"Upper-division, full POLS major standing.",,,,106
POL S 106AS,American Social Movements,Political Science - POL S,letters_and_science,"Upper-division, full POLS major standing.",,,,106
POL S 106BT,Black Political Thought,Political Science - POL S,letters_and_science,"Upper-division, full POLS major standing.",,,,106
POL S 117,Social Movement Politics,Political Science - POL S,letters_and_science,Political Science 6,,,,117
PORT 105E,Survey of Portuguese Literature from the Middle Ages to the Prese,Portuguese - PORT,letters_and_science,Upper-division standing,,,,105
SLAV 181C,Southeastern European Literature,Slavic - SLAV,letters_and_science,Upper Division standing.,,,,181
SOC W 130SG,Sociology of Globalization,Sociology - SOC,letters_and_science,Upper-division standing.,,,,130
SPAN 148B,Almodóvar's Spain:Cinema and Society,Spanish - SPAN,letters_and_science,Upper-division standing.,,,,148
SPAN 155A,Discourses of Love and Desire:from The Book of Good Love to the Present,Spanish - SPAN,letters_and_science,Spanish 30 or Spanish 102L (prerequisite may be taken concurrently).,,,,155
THTR 133A,History of Costume I,Theater - THTR,letters_and_science,"",,,,133
MUS 196,Honors Music,Music - MUS,letters_and_science,Upper-division standing; honors students only; consent of instructor and department.,,,,196
THTR 43,The People's Voice,Theater - THTR,letters_and_science,Lower-division standing.,,,,43
CH ST 99,Independent Studies,Chicano Studies - CH ST,letters_and_science,"",,,,99
CHIN 198,Readings in Chinese,Chinese - CHIN,letters_and_science,Upper-division standing; completion of 2 upper-division courses in Chinese.,,,,198
CLASS 198,Special Readings.,Classics - CLASS,letters_and_science,Consent of instructor and department chair; upper-division standing; completion of 2 upper-division courses in Classics.,,,,198
CLASS 199RA,Independent Reaesrch Assistant.,Classics - CLASS,letters_and_science,Upper-division standing; completion of 2 upper-division courses in Classicsconsent of instructor and department.,,,,199
DANCE 193HB,Senior Honors Project,Dance - DANCE,letters_and_science,Dance 193HA; senior standing.,,,,193
EARTH 190,Advanced Studies in Paleobiology,Earth Science - EARTH,letters_and_science,Consent of instructor.,,,,190
EARTH 195H,Honors Field Studies,Earth Science - EARTH,letters_and_science,Earth Science majors only; honors standing; consent of instructor.,,,,195
EACS 199,Independent Study in Asian Studies,East Asian Cultural Studies - EACS,letters_and_science,Upper division standing; completion of 2 upper division EACS courses; at least one of those two courses taken with the instructor for EACS 199; GPA for those two courses 3.5 or higher.,,,,199
ECE 96,Undergraduate Research,Electrical Computer Engineering - ECE,engineering,Consent of instructor. Must have a 3.00 GPA. May be repeated for up to 12 units.,,,,96
ENGR 199,Independent Studies in Engineering,Engineering Sciences - ENGR,engineering,Upper-division standing; consent of instructor.,,,,199
DANCE 182FL,Special Topics:Physical Practice-Flamenco,Dance - DANCE,letters_and_science,Upper-division standing.,,,,182
CHEM 104,The Science and Engineering of Energy Conversion,Chemistry and Biochemistry - CHEM,letters_and_science,Chemical Engineering 110A and 140A; or consent of instructor,,,,104
EARTH 160W,Scientific writing for the Earth Sciences,Earth Science - EARTH,letters_and_science,Earth 2,,,,160
EARTH 194RS,Practical Research Skills,Earth Science - EARTH,letters_and_science,Upper-division standing; consent of instructor.,,,,194
EACS 147T,Introduction to Daoism,East Asian Cultural Studies - EACS,letters_and_science,Upper Division Only,,,,147
EEMB 90A,Getting into the Environment:Introduction to Ecological Science and Careers,"Ecology, Evolution & Marine Biology - EEMB",letters_and_science,"",,,,90
EEMB 194R,R Seminar -Coding for Ecological and Evolutionary Analysis,"Ecology, Evolution & Marine Biology - EEMB",letters_and_science,Upper-division standing and consent of instructor.,,,,194
ECON 183,Entrepreneurial Insights,Economics - ECON,letters_and_science,ECON 100B or ECON 104B.,,,,183
ECE 194C,Group Studies in Electrical and Computer Engineering,Electrical Computer Engineering - ECE,engineering,Consent of instructor.,,,,194
ENGL 103LL,Law & Literature of the 1st Civil Rights Movement,English - ENGL,letters_and_science,Writing 2 or 50 or 109 or English 10 or upper-division standing.,,,,103
ENGL 104LC,"Literature, Culture, and Society:the 20th and 21st Century",English - ENGL,letters_and_science,Writing 2 or 50 or 109 or English 10 or upper-division standing.,,,,104
ENGL 106A,Playwriting Workshop,English - ENGL,letters_and_science,Consent of instructor.,,,,106
ENGL 134BL,"Black American Literature, 20-21st",English - ENGL,letters_and_science,Writing 2 or upper-division standing.,,,,134
FR 99,Independent Study,French - FR,letters_and_science,French 3 with a minimum grade of B.,,,,99
FR 195H,Honors Independent Studies in French,French - FR,letters_and_science,Upper-division standing; 24 upper-division units in French.,,,,195
HIST 196JC,Internship in Scholarly Publishing,History - HIST,letters_and_science,HIST 196JA and HIST 196JB,,,,196
LAIS 189,Vanguard Poetry in Spanish America,Latin American and Iberian Studies - LAIS,letters_and_science,Spanish 102L or Spanish 30 (Prerequisite may be taken concurrently).,,,,189
MCDB 194DV,Developmental Biology,"Molecular, Cellular & Develop. Biology - MCDB",letters_and_science,Upper-division standing and consent of instructor.,,,,194
RG ST 162A,Indian Philosophy,Religious Studies - RG ST,letters_and_science,Upper-division standing or instructor approval,,,,162
ARTHI 192C,Visual Technologies Internship,Art History - ARTHI,letters_and_science,"",,,,192
ARTHI 192D,On Campus Internship in the History of Art & Architecture,Art History - ARTHI,letters_and_science,"",,,,192
ARTHI 192E,Off Campus Internship in the History of Art & Architecture,Art History - ARTHI,letters_and_science,"",,,,192
BL ST 199RA,Independent Research Assistance in Black Studies,Black Studies - BL ST,letters_and_science,Upper-division standing; minimum 3.0 cumulative and major GPA for the preceding 3 quarters; completion of 2 upper-division courses in Black Studies; consent of instructor and department.,,,,199
DANCE 193H,Senior Honors Project,Dance - DANCE,letters_and_science,Senior standing.,,,,193
ARTHI 192B,Architecture and Design Collective Internship,Art History - ARTHI,letters_and_science,"",,,,192
EEMB 157A,Cell Physiology,"Ecology, Evolution & Marine Biology - EEMB",letters_and_science,"MCDB 1A, and EEMB 2 and MCDB 1B, and EEMB 3; Completion of all listed prerequisites with a grade of C- or better.",,,,157
ECE 94CC,Group Studies in Electrical and Computer Engineering,Electrical Computer Engineering - ECE,engineering,Consent of instructor.,,,,94
ECE 133,Introduction to Optimization and Learning,Electrical Computer Engineering - ECE,engineering,Upper division standing Electrical Engineering and Computer Engineering majors only.,,,,133
INT 86FH,First Year Exploration Seminars,Interdisciplinary - INT,letters_and_science,Freshman standing.,,,,86
COMM 505,Issues in Communication Research,Music Performance Laboratories - MUS A,letters_and_science,Graduate standing.,0,0,,505
COMM 597,Preparation for the Qualifying Examination,Music Performance Laboratories - MUS A,letters_and_science,Consent of graduate advisor; graduate standing.,0,0,,597
COMM 598,Master's Thesis Research and Preparation,Music Performance Laboratories - MUS A,letters_and_science,Consent of thesis advisor; graduate standing.,0,0,,598
COMM 599,Dissertation Preparation,Music Performance Laboratories - MUS A,letters_and_science,Graduate standing; consent of department; advancement to candidacy.,0,0,,599
MUS 97B,Sophomore Composition Portfolio,Music - MUS,letters_and_science,"Passing of freshman composition portfolio (may be waived for transfer students), and consent of instructor.",,,,97
MUS 122M,Practicum in World Music Performance:Arabic Maqam.,Music - MUS,letters_and_science,Upper-divison standing,,,,122
MUS 122X,Practicum in World Music Performance,Music - MUS,letters_and_science,Upper-divison standing,,,,122
MUS 135B,Piano Accompanying,Music - MUS,letters_and_science,"Music 33 (may be taken concurrently); or, Piano and Accompanying emphasis majors only; and, consent of instructor.",,,,135
MUS 195B,Junior Composition Portfolio,Music - MUS,letters_and_science,"Passing of B.M. sophomore audition; and, consent of instructor; open to upper-division Bachelor of Music Composition Emphasis major only.",,,,195
MUS A 141,Piano Ensemble,Music Performance Laboratories - MUS A,letters_and_science,Enrollment by audition. Upper-division students only.,,,,141
ARTHI 198,Independent Readings in Art History,Art History - ARTHI,letters_and_science,Consent of instructor.,,,,198
EACS 197,Senior Honors Project,East Asian Cultural Studies - EACS,letters_and_science,Open to EACS seniors only and prior approval of instructor,,,,197
EEMB 194MS,Group Studies for Advanced Students,"Ecology, Evolution & Marine Biology - EEMB",letters_and_science,Upper-division standing and consent of instructor.,,,,194
EEMB 194P,Population Ecology,"Ecology, Evolution & Marine Biology - EEMB",letters_and_science,Upper-division standing and consent of instructor.,,,,194
ENGR 120B,Cellular Bioengineering,Engineering Sciences - ENGR,engineering,Engr 120A or consent of Instructor,,,,120
ENV S 194EB,Ecology of Biological Control,Environmental Studies - ENV S,letters_and_science,Upper-division status and consent of instructor.,,,,194
GER 199RA,Independent Research Assistance in German,German - GER,letters_and_science,Upper-division standing; completion of 2 courses in upper-division German; consent of instructor and department.,,,,199
LAIS 149AD,"Blackness in Latin America, An Introduction",Latin American and Iberian Studies - LAIS,letters_and_science,History 8 or 49A or 49B or upper-division standing.,,,,149
MUS 126A,Advanced Double Bass,Music - MUS,letters_and_science,Passing of double bass sophomore audition.,,,,126
MUS 162,Choral Literature,Music - MUS,letters_and_science,Three quarters of the Music 112A-F series.,,,,162
HIST 4HA,Ancient Mediterranean-Honors,History - HIST,letters_and_science,Concurrent enrollment in HIST 4A; consent of instructor; honors standing.,,,,4
INT 84JH,Introductory Honors Seminar: Special Topics,Interdisciplinary - INT,letters_and_science,Enrollment in Letters and Science Honors Program.,,,,84
INT 86WM,First Year Exploration Seminars,Interdisciplinary - INT,letters_and_science,Freshman standing.,,,,86
INT 87AH,First Year Discovery & Linked Seminars,Interdisciplinary - INT,letters_and_science,"",,,,87
INT 87AX,First Year Discovery Linked Seminar: Campus Arts & Cultures,Interdisciplinary - INT,letters_and_science,"",,,,87
ME 103,Fundamentals of Dynamical Systems Modeling,Mechanical Engineering - ME,engineering,"",,,,103
EACS 132,Social Movements in East Asia,East Asian Cultural Studies - EACS,letters_and_science,Upper-division standing.,,,,132
EEMB 90B,Getting into the Environment: Introduction to Ecological Science and Careers II,"Ecology, Evolution & Marine Biology - EEMB",letters_and_science,"",,,,90
CLASS 36,The World of Heroes,Classics - CLASS,letters_and_science,"",1658,922,0.5560916767189384,36
ECON 136C,Intermediate Accounting,Economics - ECON,letters_and_science,Economics 136A-B.,4978,1162,0.2334270791482523,136
ENGL 18,Public Speaking,English - ENGL,letters_and_science,"",275,72,0.26181818181818184,18
ESS 3H,Nutrition For Health - Hybrid,Exercise & Sport Studies - ESS,letters_and_science,"",1426,827,0.5799438990182328,3
FAMST 70,Media Criticism,Film and Media Studies - FAMST,letters_and_science,"",2268,548,0.24162257495590828,70
GEOG 3,Oceans and Atmosphere,Geography - GEOG,letters_and_science,"",2012,985,0.48956262425447317,3
HIST 2A,World History,History - HIST,letters_and_science,"",8744,2711,0.31004117108874657,2
MUS 114,Music and Popular Culture in America,Music - MUS,letters_and_science,Upper-division standing.,5810,3456,0.5948364888123924,114
POL S 142,Foreign Policy Decision Making,Political Science - POL S,letters_and_science,Political Science 7.,197,88,0.4467005076142132,142
SOC 185C,Cultural Theory,Sociology - SOC,letters_and_science,Upper-division standing.,1678,857,0.5107270560190703,185
ANTH 3,Introductory Archaeology,Anthropology - ANTH,letters_and_science,"",4950,2606,0.5264646464646464,3
CHEM 123,Fundamentals of Environmental Chemistry,Chemistry and Biochemistry - CHEM,letters_and_science,Chemistry 1A-B.,1541,912,0.5918234912394549,123
COMM 181B,Senior Honors Thesis,Communication - COMM,letters_and_science,Consent of instructor.,133,126,0.9473684210526315,181
HIST 151FQ,Latin American History through Film,History - HIST,letters_and_science,History 8 or 151A or 151B or 151C or 154La or 154LB or 156A or 156B or upper division standing,27,11,0.4074074074074074,151
MUS 10C,History of Western Music from Early Modern Culture through Modernism,Music - MUS,letters_and_science,"",225,120,0.5333333333333333,10
SLAV 117A,Pushkin,Slavic - SLAV,letters_and_science,Upper-division standing.,29,21,0.7241379310344828,117
DANCEW 36,History of Modern Dance,Dance - DANCE,letters_and_science,"",1075,468,0.43534883720930234,36
ART CS 15,Art Colloquium,Art - ART,creative_studies,Consent of instructor.,190,190,1,15
DANCE 44D,Continuing Modern Dance,Dance - DANCE,letters_and_science,"",144,119,0.8263888888888888,44
ES 1- 14,Intercollegiate Cross Country,Exercise Sport - ES,letters_and_science,Consent of coach.,129,128,0.9922480620155039,1
ME 167,Structural Analysis,Mechanical Engineering - ME,engineering,ME 15,516,181,0.3507751937984496,167
PORT 1,Elementary Portuguese,Portuguese - PORT,letters_and_science,"",634,261,0.4116719242902208,1
RUSS 4,Intermediate Russian,Russian - RUSS,letters_and_science,Russian 3 or equivalent.,43,35,0.813953488372093,4
ARTHI 107B,Painting in the 16th-Century Netherlands,Art History - ARTHI,letters_and_science,Not open to freshman.,273,148,0.5421245421245421,107
ARTHI 132A,Mediterranean Cities,Art History - ARTHI,letters_and_science,Not open to freshmen.,78,21,0.2692307692307692,132
ECON 150A,Labor Economics,Economics - ECON,letters_and_science,Economics 10A.,808,234,0.2896039603960396,150
C LIT 30H,Honors Section,Comparative Literature - C LIT,letters_and_science,Honors standing.,266,253,0.9511278195488722,30
DANCE 43B,Beginning Street Dance Forms,Dance - DANCE,letters_and_science,"",149,132,0.8859060402684564,43
ENGR 101,Ethics in Engineering,Engineering Sciences - ENGR,engineering,Senior standing in engineering.,3934,2659,0.675902389425521,101
ENGL 104B,British Literature from 1900 to Present,English - ENGL,letters_and_science,Writing 2 or 50 or 109 or English 10 or upper-division standing.,2614,1302,0.49808722264728383,104
HIST 173T,American Environmental History,History - HIST,letters_and_science,"",1401,376,0.26837972876516775,173
MS 2AB,Foundations of Leadership II,Military Science - MS,letters_and_science,none,184,181,0.9836956521739131,2
RG ST 198IS,Iranian Studies Digital Internship,Religious Studies - RG ST,letters_and_science,"",26,26,1,198
SOC 136C,Social Categories in Interaction,Sociology - SOC,letters_and_science,Upper-division standing.,406,299,0.7364532019704434,136
WRIT 131B,Raab Writing Fellow Seminar,Writing - WRIT,letters_and_science,"",104,102,0.9807692307692307,131
ME 10,"Engineering Graphics: Sketching, CAD and Conceptual Design",Art History - ARTHI,engineering,Mechanical Engineering majors only.,1173,818,0.6973572037510657,10
CH ST 143,Chicano/a Film Studies,Chicano Studies - CH ST,letters_and_science,None,114,86,0.7543859649122807,143
ECON 106,Managerial Economics,Economics - ECON,letters_and_science,Economics 100B or 104B.,2711,1143,0.4216156399852453,106
FR 153B,French Theatre in Translation,French - FR,letters_and_science,"",186,90,0.4838709677419355,153
GREEK 102,Readings In Greek Literature,Greek - GREEK,letters_and_science,Greek 101.,12,10,0.8333333333333334,102
ITAL 120X,Transnational Italian Studies,Italian - ITAL,letters_and_science,"",199,146,0.7336683417085427,120
ARTHI 113A,Seventeenth Century Art in Southern Europe,Mechanical Engineering - ME,letters_and_science,Not open to freshmen.,174,72,0.41379310344827586,113
MUS CS 103,Analysis: Forms,Music - MUS,creative_studies,Consent of instructor.,82,82,1,103
